,ligandId,name,type,approved,withdrawn,whoEssential,approvalSource,FDA,FDA_year
51,4812,aliskiren,Synthetic organic,True,False,False,EMA & FDA (2007),FDA,2007
52,2645,alitretinoin,Metabolite,True,False,False,"FDA (1999), EMA (2000)",FDA,1999
54,6795,allopurinol,Synthetic organic,True,False,True,"FDA (1966), EMA (2018)",FDA,1966
55,7110,almotriptan,Synthetic organic,True,False,False,"FDA (2001), UK (2013)",FDA,2001
56,6319,alogliptin,Synthetic organic,True,False,False,EMA & FDA (2013),FDA,2013
57,2296,alosetron,Synthetic organic,True,False,False,FDA (2002),FDA,2002
58,7955,alpelisib,Synthetic organic,True,False,False,"FDA (2019),EMA (2020)",FDA,2019
60,6956,alpha-methyltyrosine,Synthetic organic,True,False,False,FDA (1979),FDA,1979
61,7111,alprazolam,Synthetic organic,True,False,False,FDA (1981),FDA,1981
63,7373,Alprolix<sup>TM</sup>,Peptide,True,False,False,FDA (2014),FDA,2014
64,7112,altretamine,Synthetic organic,True,False,False,FDA (1990),FDA,1990
65,7471,alvimopan,Synthetic organic,True,False,False,FDA (2008),FDA,2008
66,4128,amantadine,Synthetic organic,True,False,False,FDA (1966),FDA,1966
67,3951,ambrisentan,Synthetic organic,True,False,False,"FDA (2007), EMA (2008)",FDA,2007
69,7060,amcinonide,Synthetic organic,True,False,False,FDA (1979),FDA,1979
71,8032,amifampridine,Synthetic organic,True,False,False,"EMA (2009), FDA (2018)",FDA,2018
72,10894,amikacin,Synthetic organic,True,False,True,"FDA (1981), EMA (2020)",FDA,1981
73,2421,amiloride,Synthetic organic,True,False,True,FDA (1981),FDA,1981
74,7054,aminoglutethimide,Synthetic organic,True,False,False,FDA (1980),FDA,1980
75,4810,aminohippuric acid,Metabolite,True,False,False,FDA (1944),FDA,1944
76,2566,amiodarone,Synthetic organic,True,False,True,FDA (1985),FDA,1985
78,200,amitriptyline,Synthetic organic,True,False,True,FDA (1961),FDA,1961
79,10505,amivantamab,Antibody,True,False,False,FDA & EMA (2021),FDA,
80,7113,amlexanox,Synthetic organic,True,True,False,FDA (1996),FDA,1996
81,6981,amlodipine,Synthetic organic,True,False,True,"FDA (1992), EMA (2007)",FDA,1992
83,201,amoxapine,Synthetic organic,True,False,False,FDA (1980),FDA,1980
84,10895,amoxicillin,Synthetic organic,True,False,True,FDA (1974),FDA,1974
85,4804,amphetamine,Synthetic organic,True,False,False,FDA (no history prior to 1976),FDA,
86,10896,ampicillin,Synthetic organic,True,False,True,FDA (1965),FDA,1965
87,12681,amprenavir,Synthetic organic,True,True,False,FDA (1999),FDA,1999
89,7114,anagrelide,Synthetic organic,True,False,False,"FDA (1997), EMA (2004)",FDA,1997
90,6972,anakinra,Peptide,True,False,False,"FDA (no history prior to 2001), EMA (2002)",FDA,
91,5137,anastrozole,Synthetic organic,True,False,True,FDA (1995),FDA,1995
92,7576,andexanet alfa,Peptide,True,False,False,"FDA (2018), EMA (2019)",FDA,2018
93,2504,angiotensin II,Peptide,True,False,False,FDA (2017),FDA,2017
94,8258,anifrolumab,Antibody,True,False,False,"FDA (2021), EMA (2022)",FDA,2021
97,6960,anisindione,Synthetic organic,True,False,False,FDA (1957),FDA,1957
99,9043,apalutamide,Synthetic organic,True,False,False,"FDA (2018), EMA (2019)",FDA,2018
100,6390,apixaban,Synthetic organic,True,False,False,"EMA (2011), FDA (2012)",FDA,2012
101,33,apomorphine,Synthetic organic,True,False,False,"EMA (2001), FDA (2004)",FDA,2004
102,7117,apraclonidine,Synthetic organic,True,False,False,FDA (1987),FDA,1987
103,7372,apremilast,Synthetic organic,True,False,False,"FDA (2014), EMA (2015)",FDA,2014
104,3490,aprepitant,Synthetic organic,True,False,True,FDA and EMA (2003),FDA,
105,10070,aprocitentan,Synthetic organic,True,False,False,FDA (2024),FDA,2024
106,6570,aprotinin,Peptide,True,False,False,FDA (1993),FDA,1993
109,7479,arformoterol,Synthetic organic,True,False,False,FDA (2006),FDA,2006
110,6385,argatroban,Synthetic organic,True,False,False,FDA (2000),FDA,2000
111,34,aripiprazole,Synthetic organic,True,False,False,"FDA (2002), EMA (2004)",FDA,2002
112,9955,artemether,Synthetic organic,True,False,True,FDA (2009) in combination with lumefantrine,FDA,2009
114,9956,artesunate,Synthetic organic,True,False,True,"FDA (2020), EMA (2021)",FDA,2020
115,8962,asciminib,Synthetic organic,True,False,False,"FDA (2021), EMA (2022)",FDA,2021
116,22,asenapine,Synthetic organic,True,False,False,"FDA (2009), EMA (2010)",FDA,2009
117,4139,aspirin,Synthetic organic,True,False,True,FDA (no history prior to 1965),FDA,
122,11138,atazanavir,Synthetic organic,True,False,True,"FDA (2003), EMA (2004)",FDA,2003
123,548,atenolol,Synthetic organic,True,False,False,FDA (1981),FDA,1981
124,7990,atezolizumab,Antibody,True,False,False,"FDA (2016), EMA (2017)",FDA,2016
125,9730,atogepant,Synthetic organic,True,False,False,"FDA (2021), EMA & UK (2023)",FDA,2021
126,7118,atomoxetine,Synthetic organic,True,False,False,FDA (2002),FDA,2002
127,2949,atorvastatin,Synthetic organic,True,False,False,FDA (1996),FDA,1996
129,9695,atovaquone,Synthetic organic,True,False,False,FDA (1992),FDA,1992
130,9537,atracurium,Synthetic organic,True,False,True,"FDA (1983), UK (1999)",FDA,1983
131,320,atropine,Natural product,True,False,True,FDA (1973),FDA,1973
133,6306,auranofin,Synthetic organic,True,False,False,FDA (1985),FDA,1985
134,12857,avacincaptad pegol,Synthetic organic,True,False,False,FDA (2023),FDA,2023
135,9450,avacopan,Synthetic organic,True,False,False,"FDA (2021), EMA (2022)",FDA,2021
136,7448,avanafil,Synthetic organic,True,False,False,"FDA (2012), EMA (2013)",FDA,2012
137,10368,avapritinib,Synthetic organic,True,False,False,FDA & EMA (2020),FDA,
138,9953,avatrombopag,Synthetic organic,True,False,False,"FDA (2018), EMA (2019)",FDA,2018
139,8735,avelumab,Antibody,True,False,False,EMA & FDA (2017),FDA,2017
140,10761,avibactam,Synthetic organic,True,False,True,"FDA (2015), EMA (2016)",FDA,2015
142,5659,axitinib,Synthetic organic,True,False,False,FDA and EMA (2012),FDA,
143,6796,azacitidine,Synthetic organic,True,False,False,"FDA (2004), EMA (2009)",FDA,2004
145,7119,azatadine,Synthetic organic,True,False,False,FDA (1977),FDA,1977
146,7120,azathioprine,Synthetic organic,True,False,True,"FDA (1968), EMA (2021)",FDA,1968
147,7484,azelaic acid,Synthetic organic,True,False,False,FDA (1995),FDA,1995
150,6900,azilsartan medoxomil,Synthetic organic,True,False,False,EMA & FDA (2011),FDA,2011
151,6510,azithromycin,Synthetic organic,True,False,True,FDA & UK (1991),FDA,
152,12260,azlocillin,Synthetic organic,True,False,False,FDA,FDA,
153,10763,aztreonam,Synthetic organic,True,False,False,"FDA (1986), EMA (2009)",FDA,1986
154,12292,bacampicillin,Synthetic organic,True,False,False,FDA (1980),FDA,1980
155,12812,bacitracin A,Natural product,True,False,False,FDA (1948),FDA,1948
156,1084,baclofen,Synthetic organic,True,False,False,FDA (2007),FDA,2007
157,13105,balofloxacin,Synthetic organic,True,False,False,Korean FDA (2001),FDA,2001
158,11748,baloxavir marboxil,Synthetic organic,True,False,False,"Japan & FDA (2018), EMA (2021)",FDA,2018
159,11569,balsalazide,Synthetic organic,True,False,False,"UK (1997), FDA (2000),",FDA,2000
161,7792,baricitinib,Synthetic organic,True,False,False,"EMA (2017), FDA (2018)",FDA,2018
162,6879,basiliximab,Antibody,True,False,False,"FDA (1998), EMA (1998)",FDA,1998
163,7355,bazedoxifene,Synthetic organic,True,False,False,"EMA (2009), FDA (2013)",FDA,2013
166,11171,bedaquiline,Synthetic organic,True,False,True,"FDA (2012), EMA (2014)",FDA,2012
170,11117,belantamab mafodotin,Antibody,True,True,False,FDA & EMA (2020),FDA,
171,6892,belatacept,Peptide,True,False,False,"FDA (2011), EMA (2011)",FDA,2011
172,6887,belimumab,Antibody,True,False,False,"FDA (2011), EMA (2011)",FDA,2011
173,7496,belinostat,Synthetic organic,True,False,False,FDA (2014),FDA,2014
174,9558,belumosudil,Synthetic organic,True,False,False,FDA (2021),FDA,2021
175,11251,belzutifan,Synthetic organic,True,False,False,FDA (2021),FDA,2021
176,8321,bempedoic acid,Synthetic organic,True,False,False,EMA & FDA (2020),FDA,2020
177,6374,benazepril,Synthetic organic,True,False,False,FDA (1991),FDA,1991
178,6375,benazeprilat,Synthetic organic,True,False,False,FDA (1991),FDA,1991
179,7478,bendamustine,Synthetic organic,True,False,True,"FDA (2008), UK (2010)",FDA,2008
180,7122,bendroflumethiazide,Synthetic organic,True,False,False,FDA (1959),FDA,1959
183,7674,benralizumab,Antibody,True,False,False,"FDA (2017), EMA (2018)",FDA,2017
185,7601,benzatropine,Synthetic organic,True,False,False,FDA (1954),FDA,1954
186,7611,benzonatate,Synthetic organic,True,False,False,FDA (1958),FDA,1958
188,7125,benzthiazide,Synthetic organic,True,False,False,FDA (1960),FDA,1960
189,7466,bepotastine,Synthetic organic,True,False,False,FDA (2009),FDA,2009
190,2337,bepridil,Synthetic organic,True,False,False,FDA (1990),FDA,1990
191,11347,berotralstat,Synthetic organic,True,False,False,"FDA (2020), EMA (2021)",FDA,2020
192,12877,besifloxacin,Synthetic organic,True,False,False,FDA (2009),FDA,2009
193,11937,betahistine,Synthetic organic,True,True,False,FDA (1970s),FDA,1970
194,7061,betamethasone,Metabolite,True,False,True,FDA (1961),FDA,1961
196,549,betaxolol,Synthetic organic,True,False,False,FDA (1985),FDA,1985
198,297,bethanechol,Synthetic organic,True,False,False,FDA (no history prior to 1948),FDA,
199,9602,betrixaban,Synthetic organic,True,False,False,FDA (2017),FDA,2017
200,6771,bevacizumab,Antibody,True,False,True,"FDA (2004), EMA (2005)",FDA,2004
201,12335,bexagliflozin,Synthetic organic,True,False,False,FDA (2023),FDA,2023
202,2807,bexarotene,Synthetic organic,True,False,False,"FDA (1999), EMA (2001)",FDA,1999
204,13334,bezlotoxumab,Antibody,True,False,False,"FDA (2016), EMA (2017), Japan (2017)",FDA,2016
206,2863,bicalutamide,Synthetic organic,True,False,True,FDA (1995),FDA,1995
207,11575,bictegravir,Synthetic organic,True,False,False,EMA & FDA (2018),FDA,2018
210,1958,bimatoprost,Synthetic organic,True,False,False,"FDA (2001), EMA (2002)",FDA,2001
211,9411,bimekizumab,Antibody,True,False,False,"EMA (2021), FDA (2023)",FDA,2023
212,7921,binimetinib,Synthetic organic,True,False,False,FDA and EMA (2018),FDA,
213,7128,biperiden,Synthetic organic,True,False,True,FDA (1959),FDA,1959
214,7129,bisoprolol,Synthetic organic,True,False,True,FDA (1992),FDA,1992
215,6470,bivalirudin,Peptide,True,False,False,FDA (2000),FDA,2000
216,7384,blinatumomab,Antibody,True,False,False,"FDA (2014), EMA (2015)",FDA,2014
218,7876,boceprevir,Synthetic organic,True,True,False,EMA & FDA (2011),FDA,2011
219,6391,bortezomib,Synthetic organic,True,False,True,"FDA (2003), EMA (2004)",FDA,2003
220,3494,bosentan,Synthetic organic,True,False,False,"FDA (2001), EMA (2002)",FDA,2001
221,5710,bosutinib,Synthetic organic,True,False,False,"FDA (2012), EMA (2013)",FDA,2012
222,4890,brain natriuretic peptide,Peptide,True,False,False,FDA (2001),FDA,2001
223,10408,bremelanotide,Peptide,True,False,False,FDA (2019),FDA,2019
224,6772,brentuximab vedotin,Antibody,True,False,False,"FDA (2011), EMA (2012)",FDA,2011
226,7672,brexpiprazole,Synthetic organic,True,False,False,"FDA (2015), EMA (2018)",FDA,2015
227,7741,brigatinib,Synthetic organic,True,False,False,"FDA (2017), EMA (2018)",FDA,2017
228,520,brimonidine (UK14304),Synthetic organic,True,False,False,"FDA (1996), EMA (2014)",FDA,1996
229,11556,brincidofovir,Synthetic organic,True,False,False,FDA (2021),FDA,2021
230,6797,brinzolamide,Synthetic organic,True,False,False,"FDA (1998), EMA (2000)",FDA,1998
231,9041,brivaracetam,Synthetic organic,True,False,False,EMA & FDA (2016),FDA,2016
232,7540,brodalumab,Antibody,True,False,False,"Japan (2016), FDA (2017), EMA (2017)",FDA,2017
233,8713,brolucizumab,Antibody,True,False,False,"FDA (2019), EMA (2020)",FDA,2019
234,7131,bromfenac,Synthetic organic,True,False,False,"FDA (2004), EMA (2011)",FDA,2004
236,35,bromocriptine,Synthetic organic,True,False,False,FDA (1978),FDA,1978
238,7133,brompheniramine,Synthetic organic,True,False,False,FDA (1957),FDA,1957
240,7434,budesonide,Synthetic organic,True,False,True,"FDA (1997), EMA (2018)",FDA,1997
243,4837,bumetanide,Synthetic organic,True,False,False,FDA (1983),FDA,1983
244,570,bunolol,Synthetic organic,True,False,False,FDA (1985),FDA,1985
245,2397,bupivacaine,Synthetic organic,True,False,True,"FDA (1972), EMA (2020)",FDA,1972
247,1670,buprenorphine,Synthetic organic,True,False,False,"FDA (1981), EMA (2006)",FDA,1981
248,7135,bupropion,Synthetic organic,True,False,True,FDA (1985),FDA,1985
249,9292,burosumab,Antibody,True,False,False,EMA & FDA (2018),FDA,2018
251,36,buspirone,Synthetic organic,True,False,False,FDA (1986),FDA,1986
252,7136,busulfan,Synthetic organic,True,False,False,"FDA (1954), EMA (2003)",FDA,1954
255,7591,butorphanol,Synthetic organic,True,False,False,FDA (1978),FDA,1978
256,6798,cabazitaxel,Synthetic organic,True,False,False,"FDA (2010), EMA (2011)",FDA,2010
257,37,cabergoline,Synthetic organic,True,False,False,FDA (1996),FDA,1996
258,11386,cabotegravir,Synthetic organic,True,False,False,"EMA (2020), FDA (2021)",FDA,2021
259,5887,cabozantinib,Synthetic organic,True,False,False,"FDA (2012), EMA (2014)",FDA,2012
261,407,caffeine,Natural product,True,False,True,"FDA (no history prior to 1999), EMA (2009)",FDA,
262,6921,calcifediol,Metabolite,True,False,False,FDA (2016),FDA,2016
263,2778,calcipotriol,Synthetic organic,True,False,True,"UK (1991), FDA (1993)",FDA,1993
264,685,calcitonin,Peptide,True,False,False,FDA (1986),FDA,1986
265,6973,calcitonin (salmon),Peptide,True,False,False,FDA (1978),FDA,1978
268,4582,canagliflozin,Synthetic organic,True,False,False,FDA & EMA (2013),FDA,
269,6773,canakinumab,Antibody,True,False,False,"FDA (2009), EMA (2009)",FDA,2009
270,587,candesartan,Synthetic organic,True,False,False,FDA (1998),FDA,1998
271,1776,cangrelor,Synthetic organic,True,False,False,FDA & EMA (2015),FDA,
272,4150,cannabidiol,Natural product,True,False,False,"FDA (2018), EMA (2019), UK (2019)",FDA,2018
273,13081,cantharidin,Natural product,True,False,False,FDA (2023),FDA,2023
274,6799,capecitabine,Synthetic organic,True,False,True,"FDA (1998), EMA (2001)",FDA,1998
275,7709,capivasertib,Synthetic organic,True,False,False,FDA (2023),FDA,2023
276,9123,caplacizumab,Antibody,True,False,False,"EMA (2018), FDA (2019)",FDA,2019
277,7904,capmatinib,Synthetic organic,True,False,False,"FDA (2020), EMA (2022)",FDA,2020
278,13256,capreomycin IB,Natural product,True,False,False,"UK, FDA (1971)",FDA,1971
279,6878,capromab,Antibody,True,False,False,FDA (1996),FDA,1996
280,2486,capsaicin,Natural product,True,False,False,EMA & FDA (2009),FDA,2009
281,5158,captopril,Synthetic organic,True,False,False,FDA (1981),FDA,1981
283,298,carbachol,Synthetic organic,True,False,False,FDA (1972),FDA,1972
284,5339,carbamazepine,Synthetic organic,True,False,True,FDA (1968),FDA,1968
287,5159,carbidopa,Synthetic organic,True,False,True,FDA (1977),FDA,1977
288,7139,carbinoxamine,Synthetic organic,True,False,False,FDA (2003),FDA,2003
289,7624,carboplatin,Inorganic,True,False,True,FDA (1989),FDA,1989
291,7420,carfilzomib,Synthetic organic,True,False,False,"FDA (2012), EMA (2015)",FDA,2012
292,7458,carglumic acid,Synthetic organic,True,False,False,"EMA (2003), FDA (2010)",FDA,2010
293,12276,carindacillin,Synthetic organic,True,True,False,FDA (1972),FDA,1972
294,7671,cariprazine,Synthetic organic,True,False,False,"FDA (2015), EMA (2017)",FDA,2015
295,7610,carisoprodol,Synthetic organic,True,False,False,FDA (1959),FDA,1959
296,6800,carmustine,Synthetic organic,True,False,False,"FDA (1977), EMA (2003)",FDA,1977
300,7142,carteolol,Synthetic organic,True,False,False,FDA (1988),FDA,1988
302,551,carvedilol,Synthetic organic,True,False,False,FDA (1995),FDA,1995
303,11444,casimersen,Synthetic organic,True,False,False,FDA (2021),FDA,2021
307,11101,cedazuridine,Synthetic organic,True,False,False,FDA (2020),FDA,2020
308,10897,cefaclor,Synthetic organic,True,False,False,FDA (1979),FDA,1979
309,4831,cefadroxil,Synthetic organic,True,False,False,FDA (1978),FDA,1978
310,12193,cefaloglycin,Synthetic organic,True,False,False,FDA (1970),FDA,1970
311,8798,cefalotin,Synthetic organic,True,False,False,FDA (1974),FDA,1974
312,12210,cefamandole,Synthetic organic,True,False,False,FDA (1978),FDA,1978
313,12191,cefapirin,Synthetic organic,True,False,False,FDA (1974),FDA,1974
315,12023,cefdinir,Synthetic organic,True,False,False,FDA (1997),FDA,1997
316,12030,cefditoren,Synthetic organic,True,False,False,FDA (2001),FDA,2001
317,10772,cefepime,Synthetic organic,True,False,False,"FDA (1996), UK (2017)",FDA,1996
318,10776,cefiderocol,Synthetic organic,True,False,True,"FDA (2019), EMA (2020)",FDA,2019
319,10898,cefixime,Synthetic organic,True,False,True,FDA (1989),FDA,1989
320,12024,cefmenoxime,Synthetic organic,True,False,False,FDA (1987),FDA,1987
321,12215,cefmetazole,Synthetic organic,True,False,False,FDA (1989),FDA,1989
322,12217,cefonicid,Synthetic organic,True,False,False,FDA (1993),FDA,1993
323,12025,cefoperazone,Synthetic organic,True,False,False,FDA (1982),FDA,1982
324,12218,ceforanide,Synthetic organic,True,False,False,FDA (1984),FDA,1984
326,10893,cefotaxime,Synthetic organic,True,False,True,FDA (1981),FDA,1981
327,10936,cefotetan,Synthetic organic,True,False,False,FDA (1985),FDA,1985
328,10937,cefoxitin,Synthetic organic,True,False,False,FDA (1978),FDA,1978
330,12027,cefpiramide,Synthetic organic,True,False,False,FDA (1989),FDA,1989
332,10780,cefpodoxime,Synthetic organic,True,False,False,FDA (1992),FDA,1992
333,12219,cefprozil,Synthetic organic,True,False,False,FDA (1991),FDA,1991
334,10899,ceftaroline fosamil,Synthetic organic,True,False,False,"FDA (2010), EMA (2012)",FDA,2010
335,10762,ceftazidime,Synthetic organic,True,False,True,"UK (1983), FDA (1985)",FDA,1985
337,12029,ceftibuten,Synthetic organic,True,False,False,FDA (1995),FDA,1995
338,10785,ceftizoxime,Synthetic organic,True,True,False,FDA (1983),FDA,1983
339,10787,ceftobiprole,Synthetic organic,True,False,False,"UK (2013), FDA (2024)",FDA,2024
340,10788,ceftolozane,Synthetic organic,True,False,False,"FDA (2014), EMA (2015)",FDA,2014
341,5326,ceftriaxone,Synthetic organic,True,False,True,FDA (1984),FDA,1984
342,10900,cefuroxime,Synthetic organic,True,False,True,FDA (1983),FDA,1983
343,2892,celecoxib,Synthetic organic,True,False,False,FDA (1998),FDA,1998
345,10090,cemiplimab,Antibody,True,False,False,"FDA (2018), EMA (2019)",FDA,2018
346,10773,cenobamate,Synthetic organic,True,False,False,"FDA (2019), EMA (2021)",FDA,2019
347,4832,cephalexin,Synthetic organic,True,False,True,"FDA (1971, prior history not available)",FDA,1971
348,4830,cephradine,Synthetic organic,True,False,False,"FDA (1974, prior history not available)",FDA,1974
349,7397,ceritinib,Synthetic organic,True,False,False,"FDA (2014), EMA (2015)",FDA,2014
350,2950,cerivastatin,Synthetic organic,True,True,False,FDA (1997),FDA,1997
351,6774,certolizumab pegol,Antibody,True,False,False,"FDA (2008), EMA (2009)",FDA,2008
354,1222,cetirizine,Synthetic organic,True,False,False,FDA (1995),FDA,1995
355,1190,cetrorelix,Peptide,True,False,False,"EMA (1999), FDA (2000)",FDA,2000
356,6882,cetuximab,Antibody,True,False,False,"Switzerland (2003), EMA & FDA (2004)",FDA,2004
357,9658,cevimeline,Synthetic organic,True,False,False,FDA (2000),FDA,2000
358,608,chenodeoxycholic acid,Metabolite,True,False,False,"FDA (1983), EMA (2017)",FDA,1983
360,7324,chlophedianol,Synthetic organic,True,False,False,FDA (date unknown),FDA,
361,7143,chlorambucil,Synthetic organic,True,False,True,FDA (1957),FDA,1957
362,10901,chloramphenicol,Synthetic organic,True,False,True,FDA (1959),FDA,1959
363,3370,chlordiazepoxide,Synthetic organic,True,False,False,FDA (1960),FDA,1960
365,7145,chloroprocaine,Synthetic organic,True,False,False,FDA (1955),FDA,1955
366,5535,chloroquine,Synthetic organic,True,False,True,"FDA (1949), UK (2000)",FDA,1949
367,4835,chlorothiazide,Synthetic organic,True,False,False,FDA (1958),FDA,1958
368,7146,chlorotrianisene,Synthetic organic,True,False,False,FDA (date unknown),FDA,
369,6976,chlorpheniramine,Synthetic organic,True,False,False,FDA (1950),FDA,1950
370,83,chlorpromazine,Synthetic organic,True,False,True,FDA (1957),FDA,1957
371,6801,chlorpropamide,Synthetic organic,True,False,False,FDA (1958),FDA,1958
373,7147,chlorthalidone,Synthetic organic,True,False,False,"FDA (1960), UK (1998)",FDA,1960
374,2322,chlorzoxazone,Synthetic organic,True,False,False,FDA (1958),FDA,1958
375,609,cholic acid,Metabolite,True,False,False,"EMA (2013), FDA (2015)",FDA,2015
376,7469,ciclesonide,Synthetic organic,True,False,False,FDA (2006),FDA,2006
377,11349,ciclopirox,Synthetic organic,True,False,False,FDA (1982),FDA,1982
378,5166,cilastatin,Synthetic organic,True,False,False,FDA (1985),FDA,1985
383,7148,cilostazol,Synthetic organic,True,False,False,FDA (1999),FDA,1999
384,1231,cimetidine,Synthetic organic,True,False,False,FDA (1977),FDA,1977
385,3308,cinacalcet,Synthetic organic,True,False,False,EMA & FDA (2004),FDA,2004
387,12401,cinoxacin,Synthetic organic,True,True,False,"UK (1979), FDA (1980)",FDA,1980
389,10902,ciprofloxacin,Synthetic organic,True,False,True,FDA (1987),FDA,1987
390,240,cisapride,Synthetic organic,True,True,False,FDA (1993),FDA,1993
391,5343,cisplatin,Inorganic,True,False,True,FDA (1978),FDA,1978
392,7547,citalopram,Synthetic organic,True,False,False,FDA (1998),FDA,1998
393,4799,cladribine,Synthetic organic,True,False,False,"FDA (1993), EMA (2004)",FDA,1993
394,10903,clarithromycin,Synthetic organic,True,False,True,FDA (1991),FDA,1991
395,11215,clascoterone,Synthetic organic,True,False,False,FDA (2020),FDA,2020
398,6063,clemastine,Synthetic organic,True,False,False,FDA (1977),FDA,1977
399,7468,clevidipine,Synthetic organic,True,False,False,FDA (2008),FDA,2008
401,10607,clindamycin,Synthetic organic,True,False,True,FDA (1970),FDA,1970
402,7149,clobazam,Synthetic organic,True,False,False,FDA (2011),FDA,2011
403,7062,clobetasol propionate,Synthetic organic,True,False,False,FDA (1985),FDA,1985
406,6802,clofarabine,Synthetic organic,True,False,False,"FDA (2004), EMA (2009)",FDA,2004
407,9184,clofazimine,Synthetic organic,True,False,True,FDA (1986),FDA,1986
408,2667,clofibrate,Synthetic organic,True,False,False,FDA (1967),FDA,1967
410,4159,clomiphene,Synthetic organic,True,False,True,FDA (1967),FDA,1967
411,2398,clomipramine,Synthetic organic,True,False,True,FDA (1989),FDA,1989
412,6963,clonazepam,Synthetic organic,True,False,False,FDA (1975),FDA,1975
413,516,clonidine,Synthetic organic,True,False,False,FDA (1974),FDA,1974
414,7150,clopidogrel,Synthetic organic,True,False,True,"FDA (1997), EMA (1998)",FDA,1997
415,7548,clorazepate,Synthetic organic,True,False,False,FDA (1972),FDA,1972
416,2330,clotrimazole,Synthetic organic,True,False,True,FDA (1975),FDA,1975
417,11126,cloxacillin,Synthetic organic,True,False,True,FDA (1971),FDA,1971
418,38,clozapine,Synthetic organic,True,False,True,FDA (1989),FDA,1989
