,application_number,sponsor_name,active_ingredient,brand_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code,submission_class_code_description
5332,BLA103705,GENENTECH,RITUXIMAB,RITUXAN,ORIG,1,AP,19971126,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5374,BLA103764,NOVARTIS,BASILIXIMAB,SIMULECT,ORIG,1,AP,19980512,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5388,NDA018859,VALEANT PHARM INTL,RIBAVIRIN,VIRAZOLE,ORIG,1,AP,19851231,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5409,BLA125164,HOFFMAN-LA ROCHE,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,MIRCERA,ORIG,1,AP,20071114,STANDARD,TYPE 1,Type 1 - New Molecular Entity
5414,BLA125319,NOVARTIS PHARMS,CANAKINUMAB,ILARIS,ORIG,1,AP,20090617,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5432,BLA125418,SANOFI AVENTIS US,ZIV-AFLIBERCEPT,ZALTRAP,ORIG,1,AP,20120803,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5448,BLA125513,ALEXION PHARM,ASFOTASE ALFA,STRENSIQ,ORIG,1,AP,20151023,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
5465,BLA125521,ELI LILLY AND CO,IXEKIZUMAB,TALTZ,ORIG,1,AP,20160322,STANDARD,TYPE 1,Type 1 - New Molecular Entity
5471,BLA125547,ELI LILLY CO,NECITUMUMAB,PORTRAZZA,ORIG,1,AP,20151124,STANDARD,TYPE 1,Type 1 - New Molecular Entity
5473,BLA125559,SANOFI AVENTIS,ALIROCUMAB,PRALUENT,ORIG,1,AP,20150724,STANDARD,TYPE 1,Type 1 - New Molecular Entity
6157,NDA018917,PROMIUS PHARMA,ACEBUTOLOL HYDROCHLORIDE,SECTRAL,ORIG,1,AP,19841228,STANDARD,TYPE 1,Type 1 - New Molecular Entity
6442,NDA018963,BRACCO,TECHNETIUM TC-99M MEBROFENIN KIT,CHOLETEC,ORIG,1,AP,19870121,STANDARD,TYPE 1,Type 1 - New Molecular Entity
6543,NDA202192,INCYTE CORP,RUXOLITINIB PHOSPHATE,JAKAFI,ORIG,1,AP,20111116,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
6800,NDA203100,GILEAD SCIENCES INC,COBICISTAT,STRIBILD,ORIG,1,AP,20120827,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
6824,NDA203100,GILEAD SCIENCES INC,ELVITEGRAVIR,STRIBILD,ORIG,1,AP,20120827,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
6848,NDA203100,GILEAD SCIENCES INC,EMTRICITABINE,STRIBILD,ORIG,1,AP,20120827,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
6872,NDA203100,GILEAD SCIENCES INC,TENOFOVIR DISOPROXIL FUMARATE,STRIBILD,ORIG,1,AP,20120827,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
7027,NDA203388,GENENTECH,VISMODEGIB,ERIVEDGE,ORIG,1,AP,20120130,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
7090,NDA203756,EXELIXIS,CABOZANTINIB S-MALATE,COMETRIQ,ORIG,1,AP,20121129,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
7157,NDA204026,CELGENE,POMALIDOMIDE,POMALYST,ORIG,1,AP,20130208,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
7323,NDA204275,GLAXO GRP LTD,FLUTICASONE FUROATE,BREO ELLIPTA,ORIG,1,AP,20130510,STANDARD,TYPE 1,Type 1 - New Molecular Entity
7334,NDA204275,GLAXO GRP LTD,VILANTEROL TRIFENATATE,BREO ELLIPTA,ORIG,1,AP,20130510,STANDARD,TYPE 1,Type 1 - New Molecular Entity
7735,NDA205266,NOVARTIS PHARMS CORP,SONIDEGIB PHOSPHATE,ODOMZO,ORIG,1,AP,20150724,STANDARD,TYPE 1,Type 1 - New Molecular Entity
7810,NDA205353,NOVARTIS PHARMS CORP,PANOBINOSTAT LACTATE,FARYDAK,ORIG,1,AP,20150223,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
7889,NDA205552,PHARMACYCLICS INC,IBRUTINIB,IMBRUVICA,ORIG,1,AP,20131113,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
7952,NDA205718,HELSINN HLTHCARE,NETUPITANT,AKYNZEO,ORIG,1,AP,20141010,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
7960,NDA205718,HELSINN HLTHCARE,PALONOSETRON HYDROCHLORIDE,AKYNZEO,ORIG,1,AP,20141010,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
7964,NDA205739,RELYPSA INC,PATIROMER SORBITEX CALCIUM,VELTASSA,ORIG,1,AP,20151021,STANDARD,TYPE 1,Type 1 - New Molecular Entity
7991,NDA205755,NOVARTIS PHARMS CORP,CERITINIB,ZYKADIA,ORIG,1,AP,20140429,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
8027,NDA205832,BOEHRINGER INGELHEIM,NINTEDANIB ESYLATE,OFEV,ORIG,1,AP,20141015,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
8359,NDA019558,MERCK,LISINOPRIL,PRINIVIL,ORIG,1,AP,19871229,STANDARD,TYPE 1,Type 1 - New Molecular Entity
8667,NDA206619,ABBVIE INC,DASABUVIR SODIUM ,VIEKIRA PAK (COPACKAGED),ORIG,1,AP,20141219,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
8685,NDA206619,ABBVIE INC,OMBITASVIR,VIEKIRA PAK (COPACKAGED),ORIG,1,AP,20141219,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
8703,NDA206619,ABBVIE INC,PARITAPREVIR,VIEKIRA PAK (COPACKAGED),ORIG,1,AP,20141219,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
8721,NDA206619,ABBVIE INC,RITONAVIR,VIEKIRA PAK (COPACKAGED),ORIG,1,AP,20141219,PRIORITY,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
8800,NDA206709,BIOCODEX SA,STIRIPENTOL,DIACOMIT,ORIG,1,AP,20180820,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
8869,NDA019596,BAYER HLTHCARE,GADOPENTETATE DIMEGLUMINE,MAGNEVIST,ORIG,1,AP,19880602,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
8900,NDA019627,FRESENIUS KABI USA,PROPOFOL,DIPRIVAN,ORIG,1,AP,19891002,STANDARD,TYPE 1,Type 1 - New Molecular Entity
9538,NDA208078,CATALYST PHARMS,AMIFAMPRIDINE PHOSPHATE,FIRDAPSE,ORIG,1,AP,20181128,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
9667,NDA208743,RADIUS HEALTH INC,ABALOPARATIDE,TYMLOS,ORIG,1,AP,20170428,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
9671,NDA208772,TAKEDA PHARMS USA,BRIGATINIB,ALUNBRIG,ORIG,1,AP,20170428,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
9840,NDA209115,CLOVIS ONCOLOGY INC,RUCAPARIB CAMSYLATE,RUBRACA,ORIG,1,AP,20161219,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
9848,NDA209115,CLOVIS ONCOLOGY INC,.ALPHA.-DORADEXANTHIN,hema test,ORIG,1,AP,20161219,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
9857,NDA209229,USWM,LOFEXIDINE HYDROCHLORIDE,LUCEMYRA,ORIG,1,AP,20180516,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
9938,NDA019853,ATON,PENICILLAMINE,CUPRIMINE,ORIG,1,AP,19701204,STANDARD,TYPE 1,Type 1 - New Molecular Entity
10057,NDA209816,PARATEK PHARMS INC,OMADACYCLINE TOSYLATE,NUZYRA,ORIG,1,AP,20181002,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
10088,NDA019885,PFIZER PHARMS,QUINAPRIL HYDROCHLORIDE,ACCUPRIL,ORIG,1,AP,19911119,STANDARD,TYPE 1,Type 1 - New Molecular Entity
10200,NDA209936,BAYER HEALTHCARE,COPANLISIB DIHYDROCHLORIDE,ALIQOPA,ORIG,1,AP,20170914,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
10236,NDA019901,KING PHARMS,RAMIPRIL,ALTACE,ORIG,1,AP,19910128,STANDARD,TYPE 1,Type 1 - New Molecular Entity
10415,NDA019928,BRACCO,TECHNETIUM TC-99M TEBOROXIME KIT,CARDIOTEC,ORIG,1,AP,19901219,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
10418,NDA210491,VERTEX PHARMS INC,IVACAFTOR,SYMDEKO (COPACKAGED),ORIG,1,AP,20180212,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
10421,NDA210491,VERTEX PHARMS INC,"IVACAFTOR, TEZACAFTOR",SYMDEKO (COPACKAGED),ORIG,1,AP,20180212,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
10428,NDA210498,ARRAY BIOPHARMA INC,BINIMETINIB,MEKTOVI,ORIG,1,AP,20180627,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
10431,NDA210730,TREVENA,OLICERIDINE,OLINVYK,ORIG,1,AP,20200807,STANDARD,TYPE 1,Type 1 - New Molecular Entity
10459,NDA211280,ELI LILLY AND CO,LASMIDITAN SUCCINATE,REYVOW,ORIG,1,AP,20191011,STANDARD,TYPE 1,Type 1 - New Molecular Entity
10506,NDA211527,GALDERMA LABS LP,TRIFAROTENE,AKLIEF,ORIG,1,AP,20191004,STANDARD,TYPE 1,Type 1 - New Molecular Entity
11121,NDA212099,BAYER HEALTHCARE,DAROLUTAMIDE,NUBEQA,ORIG,1,AP,20190730,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11122,NDA212123,AVID RADIOPHARMS INC,FLORTAUCIPIR F-18,TAUVID,ORIG,1,AP,20200528,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11135,NDA212526,NOVARTIS,ALPELISIB,PIQRAY,ORIG,1,AP,20190524,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11208,NDA020154,BRISTOL MYERS SQUIBB,DIDANOSINE,VIDEX,ORIG,1,AP,19911009,,TYPE 1,Type 1 - New Molecular Entity
11381,NDA213036,AMIVAS,ARTESUNATE,ARTESUNATE,ORIG,1,AP,20200526,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11769,NDA213702,JAZZ,LURBINECTEDIN,ZEPZELCA,ORIG,1,AP,20200615,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11813,NDA020235,PFIZER PHARMS,GABAPENTIN,NEURONTIN,ORIG,1,AP,19931230,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
11887,NDA020240,SCHERING,SPIRAPRIL HYDROCHLORIDE,RENORMAX,ORIG,1,AP,19941229,STANDARD,TYPE 1,Type 1 - New Molecular Entity
12182,BLA761036,JANSSEN BIOTECH,DARATUMUMAB,DARZALEX,ORIG,1,AP,20151116,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
12378,NDA020392,MYLAN,CYSTEAMINE BITARTRATE,CYSTAGON,ORIG,1,AP,19940815,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
12416,NDA020406,TAKEDA PHARMS USA,LANSOPRAZOLE,PREVACID,ORIG,1,AP,19950510,STANDARD,TYPE 1,Type 1 - New Molecular Entity
12555,NDA020420,GENSIA AUTOMEDICS,ARBUTAMINE HYDROCHLORIDE,GENESA,ORIG,1,AP,19970912,STANDARD,TYPE 1,Type 1 - New Molecular Entity
12563,NDA020444,GLAXOSMITHKLINE LLC,EPOPROSTENOL SODIUM,FLOLAN,ORIG,1,AP,19950920,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
12643,NDA020496,SANOFI AVENTIS US,GLIMEPIRIDE,AMARYL,ORIG,1,AP,19951130,STANDARD,TYPE 1,Type 1 - New Molecular Entity
12703,NDA020497,KYOWA KIRIN,TOREMIFENE CITRATE,FARESTON,ORIG,1,AP,19970529,STANDARD,TYPE 1,Type 1 - New Molecular Entity
13182,NDA020592,LILLY,OLANZAPINE,ZYPREXA,ORIG,1,AP,19960930,STANDARD,TYPE 1,Type 1 - New Molecular Entity
13820,NDA020617,AVENT,"UREA, C-14",PYTEST KIT,ORIG,1,AP,19970509,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
13829,NDA020623,US PHARM HOLDINGS,DOLASETRON MESYLATE,ANZEMET,ORIG,1,AP,19970911,STANDARD,TYPE 1,Type 1 - New Molecular Entity
13867,NDA020658,GLAXOSMITHKLINE LLC,ROPINIROLE HYDROCHLORIDE,REQUIP,ORIG,1,AP,19970919,STANDARD,TYPE 1,Type 1 - New Molecular Entity
14122,NDA020685,MERCK SHARP DOHME,INDINAVIR SULFATE,CRIXIVAN,ORIG,1,AP,19960313,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
15018,NDA020687,DANCO LABS LLC,MIFEPRISTONE,MIFEPREX,ORIG,1,AP,20000928,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
15121,NDA020726,NOVARTIS PHARMS,LETROZOLE,FEMARA,ORIG,1,AP,19970725,STANDARD,TYPE 1,Type 1 - New Molecular Entity
15490,NDA020771,PHARMACIA AND UPJOHN,TOLTERODINE TARTRATE,DETROL,ORIG,1,AP,19980325,STANDARD,TYPE 1,Type 1 - New Molecular Entity
15963,NDA020819,ABBVIE,PARICALCITOL,ZEMPLAR,ORIG,1,AP,19980417,STANDARD,TYPE 1,Type 1 - New Molecular Entity
16135,NDA020892,ENDO PHARM,VALRUBICIN,VALSTAR PRESERVATIVE FREE,ORIG,1,AP,19980925,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
16308,NDA020926,GENZYME,SEVELAMER HYDROCHLORIDE,RENAGEL,ORIG,1,AP,19981030,STANDARD,TYPE 1,Type 1 - New Molecular Entity
16474,NDA021014,NOVARTIS,OXCARBAZEPINE,TRILEPTAL,ORIG,1,AP,20000114,STANDARD,TYPE 1,Type 1 - New Molecular Entity
16766,NDA021036,GLAXOSMITHKLINE,ZANAMIVIR,RELENZA,ORIG,1,AP,19990726,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
16807,NDA021064,LANTHEUS MEDCL,PERFLUTREN,DEFINITY,ORIG,1,AP,20010731,STANDARD,TYPE 1,Type 1 - New Molecular Entity
16872,NDA021106,PHARMACIA AND UPJOHN,PEGVISOMANT,SOMAVERT,ORIG,1,AP,20030325,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
16964,NDA021144,SANOFI AVENTIS US,TELITHROMYCIN,KETEK,ORIG,1,AP,20040401,STANDARD,TYPE 1,Type 1 - New Molecular Entity
16996,NDA021200,US WORLDMEDS LLC,TEGASEROD MALEATE,ZELNORM,ORIG,1,AP,20020724,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
17014,NDA021256,CHIRHOCLIN,SECRETIN SYNTHETIC HUMAN,CHIRHOSTIM,ORIG,1,AP,20040409,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
17492,NDA021361,SALIX PHARMS,RIFAXIMIN,XIFAXAN,ORIG,1,AP,20040525,STANDARD,TYPE 1,Type 1 - New Molecular Entity
17595,NDA010251,TARGACEPT,MECAMYLAMINE HYDROCHLORIDE,INVERSINE,ORIG,1,AP,19560301,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
17650,NDA021395,BOEHRINGER INGELHEIM,TIOTROPIUM BROMIDE,SPIRIVA,ORIG,1,AP,20040130,STANDARD,TYPE 1,Type 1 - New Molecular Entity
17670,NDA021400,BAYER HLTHCARE,VARDENAFIL HYDROCHLORIDE,LEVITRA,ORIG,1,AP,20030819,STANDARD,TYPE 1,Type 1 - New Molecular Entity
17799,NDA021446,PF PRISM CV,PREGABALIN,LYRICA,ORIG,1,AP,20041230,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
17992,NDA021462,LILLY,PEMETREXED DISODIUM,ALIMTA,ORIG,1,AP,20040204,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
18183,NDA021618,MISSION PHARMA,TINIDAZOLE,TINDAMAX,ORIG,1,AP,20040517,STANDARD,TYPE 1,Type 1 - New Molecular Entity
18349,NDA021746,WINDTREE THERAP,LUCINACTANT,SURFAXIN,ORIG,1,AP,20120306,STANDARD,TYPE 1,Type 1 - New Molecular Entity
18355,NDA021756,VALEANT PHARMS LLC,PEGAPTANIB SODIUM,MACUGEN,ORIG,1,AP,20040917,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
18556,NDA021976,JANSSEN PRODS,DARUNAVIR ETHANOLATE,PREZISTA,ORIG,1,AP,20060623,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
18898,NDA022156,CHIESI,CLEVIDIPINE,CLEVIPREX,ORIG,1,AP,20080801,STANDARD,TYPE 1,Type 1 - New Molecular Entity
18907,NDA022161,ASTELLAS,REGADENOSON,LEXISCAN,ORIG,1,AP,20080410,STANDARD,TYPE 1,Type 1 - New Molecular Entity
18977,NDA022225,ORGANON SUB MERCK,SUGAMMADEX SODIUM,BRIDION,ORIG,1,AP,20151215,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
18983,NDA022249,CEPHALON,BENDAMUSTINE HYDROCHLORIDE,TREANDA,ORIG,1,AP,20080320,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
19084,NDA022290,GE HEALTHCARE,IOBENGUANE SULFATE I-123,ADREVIEW,ORIG,1,AP,20080919,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
19373,NDA022405,GENZYME CORP,VANDETANIB,CAPRELSA,ORIG,1,AP,20110406,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
19405,NDA022425,SANOFI AVENTIS US,DRONEDARONE HYDROCHLORIDE,MULTAQ,ORIG,1,AP,20090701,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
19427,NDA022458,PFIZER,TALIGLUCERASE ALFA,ELELYSO,ORIG,1,AP,20120501,STANDARD,TYPE 1,Type 1 - New Molecular Entity
19614,NDA011559,PAR STERILE PRODUCTS,METHOHEXITAL SODIUM,BREVITAL SODIUM,ORIG,1,AP,19600627,STANDARD,TYPE 1,Type 1 - New Molecular Entity
20373,NDA050560,ASTELLAS,CEFTIZOXIME SODIUM,CEFIZOX,ORIG,1,AP,19830915,STANDARD,TYPE 1,Type 1 - New Molecular Entity
20418,NDA050588,TELIGENT PHARMA INC,CEFOTETAN DISODIUM,CEFOTAN,ORIG,1,AP,19851227,STANDARD,TYPE 1,Type 1 - New Molecular Entity
20478,NDA050608,PFIZER,AMPICILLIN SODIUM,UNASYN,ORIG,1,AP,19861231,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
20505,NDA050608,PFIZER,SULBACTAM SODIUM,UNASYN,ORIG,1,AP,19861231,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
20683,NDA050667,KING PHARMS,LORACARBEF,LORABID,ORIG,1,AP,19911231,STANDARD,TYPE 1,Type 1 - New Molecular Entity
20733,NDA050679,HOSPIRA INC,CEFEPIME HYDROCHLORIDE,MAXIPIME,ORIG,1,AP,19960118,STANDARD,TYPE 1,Type 1 - New Molecular Entity
20845,NDA050682,RECORDATI RARE,DACTINOMYCIN,COSMEGEN,ORIG,1,AP,19641210,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
20889,NDA050684,WYETH PHARMS INC,PIPERACILLIN SODIUM,ZOSYN,ORIG,1,AP,19931022,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
20947,NDA050684,WYETH PHARMS INC,TAZOBACTAM SODIUM,ZOSYN,ORIG,1,AP,19931022,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
21454,NDA050742,MERCK SHARP DOHME,IVERMECTIN,STROMECTOL,ORIG,1,AP,19961122,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
21571,NDA050786,FOREST LABS LLC,BISMUTH SUBCITRATE POTASSIUM,PYLERA,ORIG,1,AP,20060928,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
21584,NDA050786,FOREST LABS LLC,METRONIDAZOLE,PYLERA,ORIG,1,AP,20060928,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
21597,NDA050786,FOREST LABS LLC,TETRACYCLINE,PYLERA,ORIG,1,AP,20060928,STANDARD,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination
21816,NDA012209,SPECTRUM PHARMS,FLUOROURACIL,FLUOROURACIL,ORIG,1,AP,19620425,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
21921,NDA012380,PARKE DAVIS,ETHOSUXIMIDE,ZARONTIN,ORIG,1,AP,19601102,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
22190,NDA012827,CASPER PHARMA LLC,GLYCOPYRROLATE,ROBINUL FORTE,ORIG,1,AP,19610811,STANDARD,TYPE 1,Type 1 - New Molecular Entity
22262,NDA012885,LUNDBECK INC,STANOZOLOL,WINSTROL,ORIG,1,AP,19620109,STANDARD,TYPE 1,Type 1 - New Molecular Entity
22274,NDA012892,SHIRE,URACIL MUSTARD,URACIL MUSTARD,ORIG,1,AP,19620913,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
22302,NDA013615,DOW PHARM,PIPERACETAZINE,QUIDE,ORIG,1,AP,19690203,STANDARD,TYPE 1,Type 1 - New Molecular Entity
22442,NDA016096,MERCK SHARP DOHME,THIABENDAZOLE,MINTEZOL,ORIG,1,AP,19670407,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
22489,NDA016267,NOVARTIS,DEFEROXAMINE MESYLATE,DESFERAL,ORIG,1,AP,19680401,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
22626,NDA016418,WYETH PHARMS INC,PROPRANOLOL HYDROCHLORIDE,INDERAL,ORIG,1,AP,19671113,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
22957,NDA016792,ODYSSEY PHARMS,TRIMIPRAMINE MALEATE,SURMONTIL,ORIG,1,AP,19790612,STANDARD,TYPE 1,Type 1 - New Molecular Entity
23026,NDA016798,PFIZER,DOXEPIN HYDROCHLORIDE,SINEQUAN,ORIG,1,AP,19690923,STANDARD,TYPE 1,Type 1 - New Molecular Entity
23282,NDA016912,ROCHE,LEVODOPA,LARODOPA,ORIG,1,AP,19700604,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
23940,NDA017442,PFIZER,PRAZOSIN HYDROCHLORIDE,MINIPRESS,ORIG,1,AP,19760623,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
24053,NDA017454,MALLINCKRODT,TECHNETIUM TC-99M ETIDRONATE KIT,OSTEOSCAN,ORIG,1,AP,19730928,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
27048,NDA017806,LANTHEUS MEDCL,THALLOUS CHLORIDE TL-201,THALLOUS CHLORIDE TL 201,ORIG,1,AP,19771216,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
27097,NDA017810,PHARMACIA AND UPJOHN,DINOPROSTONE,PROSTIN E2,ORIG,1,AP,19770823,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
27120,NDA017821,JANSSEN RES AND DEV,CYCLOBENZAPRINE HYDROCHLORIDE,FLEXERIL,ORIG,1,AP,19770826,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
27202,NDA017920,GLAXOSMITHKLINE,CIMETIDINE,TAGAMET,ORIG,1,AP,19770816,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
27571,NDA017970,ASTRAZENECA,TAMOXIFEN CITRATE,NOLVADEX,ORIG,1,AP,19771230,STANDARD,TYPE 1,Type 1 - New Molecular Entity
27910,NDA018227,HOSPIRA,ETOMIDATE,AMIDATE,ORIG,1,AP,19820907,STANDARD,TYPE 1,Type 1 - New Molecular Entity
28410,NDA018401,INDIVIOR INC,BUPRENORPHINE HYDROCHLORIDE,BUPRENEX,ORIG,1,AP,19811229,STANDARD,TYPE 1,Type 1 - New Molecular Entity
28449,NDA018485,MT ADAMS,VERAPAMIL HYDROCHLORIDE,ISOPTIN,ORIG,1,AP,19810812,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
28704,NDA018631,US PHARM HOLDINGS,PENTOXIFYLLINE,TRENTAL,ORIG,1,AP,19840830,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
28736,NDA018654,HLR,MIDAZOLAM HYDROCHLORIDE,VERSED,ORIG,1,AP,19851220,STANDARD,TYPE 1,Type 1 - New Molecular Entity
28821,NDA018662,HOFFMANN LA ROCHE,ISOTRETINOIN,ACCUTANE,ORIG,1,AP,19820507,PRIORITY,TYPE 1,Type 1 - New Molecular Entity
